상가업소번호,상호명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번주소,도로명코드,도로명,도로명주소,구우편번호,신우편번호,경도,위도,시,구,동,그외주소,구_동,학교,술집,노래방,다른 포토부스 개수,Closest_Location_1,Closest_Location_2,Closest_Location_3,Fee_1,Fee_2,Fee_3,distance_1,distance_2,distance_3,estimated_fee
MA010120220805640537,스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11440,마포구,11440600,대흥동,1144010800,대흥동,1144010800100320016,서울특별시 마포구 대흥동 32-16,114404139039,서울특별시 마포구 대흥로20길,서울특별시 마포구 대흥로20길 16,121809,4136,126.944886937469,37.5501134856918,서울특별시,마포구,대흥동,32-16,마포구 대흥동,79,137,40,0,공덕역,신촌/이대,숙명여대,60.6,47.5,43.6,4062.443573926714,2904.6172417161947,6184.201993685008,50.99365669803098
MA010120220800008702,포토클럽,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11350,노원구,11350640,상계2동,1135010500,상계동,1135010500103930032,서울특별시 노원구 상계동 393-32,113504130274,서울특별시 노원구 상계로17길,서울특별시 노원구 상계로17길 37,139818,1685,127.066903789035,37.6592658117349,서울특별시,노원구,상계동,393-32,노원구 상계동,61,264,116,0,상계역,수유,미아사거리,26.2,37.0,37.5,12160.34222758218,13667.660335419676,11007.157125512755,33.55798930368646
MA010120220808187634,인생네컷,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73303,사진 처리업,11110,종로구,11110650,혜화동,1111017100,명륜2가,1111017100101860002,서울특별시 종로구 명륜2가 186-2,111104100032,서울특별시 종로구 대명길,서울특별시 종로구 대명길 42,110530,3077,126.999278550523,37.5829885114175,서울특별시,종로구,명륜2가,186-2,종로구 명륜2가,74,171,26,0,혜화동,동대문,을지로,51.4,48.0,57.3,2079.3703334202046,3316.021978152169,1604.6209088963662,52.7790862821476
MA010120220805929169,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100106190003,서울특별시 강남구 역삼동 619-3,116804166003,서울특별시 강남구 강남대로102길,서울특별시 강남구 강남대로102길 16,135908,6128,127.027163577727,37.5021002299312,서울특별시,강남구,역삼동,619-3,강남구 역삼동,29,566,89,1,강남대로,교대역,논현역,86.3,41.0,66.1,9298.367187330385,7890.08865288857,7817.284714401785,63.8542372626621
MA010120220800162489,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107970012,서울특별시 강서구 마곡동 797-12,115004145565,서울특별시 강서구 마곡동로4길,서울특별시 강서구 마곡동로4길 23,157805,7803,126.83618605636,37.5596341499026,서울특별시,강서구,마곡동,797-12,강서구 마곡동,46,213,34,0,화곡,목동,오류동역,28.7,35.1,47.1,12612.021330314403,12294.443348390227,15382.961795583264,36.610845324401915
MA010120220800801909,나인포토,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11650,서초구,11650540,잠원동,1165010600,잠원동,1165010600100340024,서울특별시 서초구 잠원동 34-24,116504163458,서울특별시 서초구 신반포로43길,서울특별시 서초구 신반포로43길 45,137904,6529,127.017598980965,37.5121849522905,서울특별시,서초구,잠원동,34-24,서초구 잠원동,24,355,77,0,신사역,논현역,교대역,71.4,66.1,41.0,7915.389061113602,6487.914248576668,6581.262394767166,59.13639920454909
MA010120220800051630,모션픽쳐,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11500,강서구,11500611,발산1동,1150010500,마곡동,1150010500108010001,서울특별시 강서구 마곡동 801-1,115002005007,서울특별시 강서구 공항대로,서울특별시 강서구 공항대로 242,157210,7805,126.834313999484,37.5584713707099,서울특별시,강서구,마곡동,801-1,강서구 마곡동,46,207,32,0,화곡,목동,오류동역,28.7,35.1,47.1,12794.738233696495,12461.010067411313,15559.047666910188,36.61587931752247
MA0101202302A0109491,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11440,마포구,11440690,망원1동,1144012300,망원동,1144012300104000018,서울특별시 마포구 망원동 400-18,114403113024,서울특별시 마포구 포은로,서울특별시 마포구 포은로 88,121820,4014,126.905377291463,37.5548807165523,서울특별시,마포구,망원동,400-18,마포구 망원동,35,227,45,0,망원역,홍대/합정,당산역,41.4,56.7,37.1,6784.378631063829,6207.050102945876,9392.321234561785,45.680792196502104
MA0101202306A0049293,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100520049,서울특별시 서대문구 창천동 52-49,114104136245,서울특별시 서대문구 연세로7안길,서울특별시 서대문구 연세로7안길 1,120834,3788,126.936165740965,37.5577751649138,서울특별시,서대문구,창천동,52-49,서대문구 창천동,64,485,76,0,동교/연남,신촌/이대,공덕역,51.8,47.5,60.6,4168.837225383473,3469.373405548359,6664.218685606772,52.521349942666106
MA010120220804019629,아토스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800102320002,서울특별시 강남구 논현동 232-2,116804166564,서울특별시 강남구 언주로113길,서울특별시 강남구 언주로113길 17,135830,6109,127.035929315226,37.5090921947557,서울특별시,강남구,논현동,232-2,강남구 논현동,21,248,40,0,논현역,도산대로,강남대로,66.1,45.5,86.3,9041.29634127456,7783.452521718188,7267.000285327938,66.18112770269141
